APMC,Commodity,Year,Month,arrivals_in_qtl,min_price,max_price,modal_price,date,district_name,state_name,quarter,combination_label
Akole,paddy-unhusked,2015,July,87,1440,1880,1595.0,2015-07-01,Ahmadnagar,Maharashtra,3,Akole:paddy-unhusked
Akole,paddy-unhusked,2015,August,58,1475,2000,1625.0,2015-08-01,Ahmadnagar,Maharashtra,3,Akole:paddy-unhusked
Akole,paddy-unhusked,2015,September,93,1500,1967,1700.0,2015-09-01,Ahmadnagar,Maharashtra,3,Akole:paddy-unhusked
Akole,paddy-unhusked,2015,October,198,1488,1975,1675.0,2015-10-01,Ahmadnagar,Maharashtra,4,Akole:paddy-unhusked
Akole,paddy-unhusked,2015,November,190,1488,1900,1638.0,2015-11-01,Ahmadnagar,Maharashtra,4,Akole:paddy-unhusked
Akole,paddy-unhusked,2015,December,358,1475,1825,1607.0,2015-12-01,Ahmadnagar,Maharashtra,4,Akole:paddy-unhusked
Akole,paddy-unhusked,2016,January,338,1490,1900,1625.0,2016-01-01,Ahmadnagar,Maharashtra,1,Akole:paddy-unhusked
Akole,paddy-unhusked,2016,February,452,1475,1975,1669.0,2016-02-01,Ahmadnagar,Maharashtra,1,Akole:paddy-unhusked
Akole,paddy-unhusked,2016,March,417,1500,1925,1619.0,2016-03-01,Ahmadnagar,Maharashtra,1,Akole:paddy-unhusked
Akole,paddy-unhusked,2016,April,448,1500,2017,1704.0,2016-04-01,Ahmadnagar,Maharashtra,2,Akole:paddy-unhusked
Akole,paddy-unhusked,2016,May,227,1500,2000,1675.0,2016-05-01,Ahmadnagar,Maharashtra,2,Akole:paddy-unhusked
Akole,paddy-unhusked,2016,June,200,1500,2000,1669.0,2016-06-01,Ahmadnagar,Maharashtra,2,Akole:paddy-unhusked
Akole,paddy-unhusked,2016,July,95,1500,2000,1663.0,2016-07-01,Ahmadnagar,Maharashtra,3,Akole:paddy-unhusked
Akole,paddy-unhusked,2016,August,93,1500,2200,1700.0,2016-08-01,Ahmadnagar,Maharashtra,3,Akole:paddy-unhusked
Akole,paddy-unhusked,2016,September,213,1500,2130,1645.0,2016-09-01,Ahmadnagar,Maharashtra,3,Akole:paddy-unhusked
Akole,paddy-unhusked,2016,October,240,1500,2113,1650.0,2016-10-01,Ahmadnagar,Maharashtra,4,Akole:paddy-unhusked
Akole,paddy-unhusked,2016,November,170,1505,2013,1613.0,2016-11-01,Ahmadnagar,Maharashtra,4,Akole:paddy-unhusked
Akole,wheat(husked),2014,September,60,1475,1900,1706.0,2014-09-01,Ahmadnagar,Maharashtra,3,Akole:wheat(husked)
Akole,wheat(husked),2014,October,80,1460,1840,1675.0,2014-10-01,Ahmadnagar,Maharashtra,4,Akole:wheat(husked)
Akole,wheat(husked),2014,November,620,1494,1875,1663.0,2014-11-01,Ahmadnagar,Maharashtra,4,Akole:wheat(husked)
Akole,wheat(husked),2014,December,55,1500,1900,1675.0,2014-12-01,Ahmadnagar,Maharashtra,4,Akole:wheat(husked)
Akole,wheat(husked),2015,January,118,1460,1960,1670.0,2015-01-01,Ahmadnagar,Maharashtra,1,Akole:wheat(husked)
Akole,wheat(husked),2015,February,5130,1076,1401,1573.25,2015-02-01,Ahmadnagar,Maharashtra,1,Akole:wheat(husked)
Akole,wheat(husked),2015,March,97,1475,1925,1688.0,2015-03-01,Ahmadnagar,Maharashtra,1,Akole:wheat(husked)
Akole,wheat(husked),2015,April,164,1450,1975,1644.0,2015-04-01,Ahmadnagar,Maharashtra,2,Akole:wheat(husked)
Akole,wheat(husked),2015,May,163,1425,2000,1625.0,2015-05-01,Ahmadnagar,Maharashtra,2,Akole:wheat(husked)
Akole,wheat(husked),2015,June,112,1450,2025,1638.0,2015-06-01,Ahmadnagar,Maharashtra,2,Akole:wheat(husked)
Akole,wheat(husked),2015,July,178,1500,1960,1680.0,2015-07-01,Ahmadnagar,Maharashtra,3,Akole:wheat(husked)
Akole,wheat(husked),2015,August,137,1475,1975,1681.0,2015-08-01,Ahmadnagar,Maharashtra,3,Akole:wheat(husked)
Akole,wheat(husked),2015,September,99,1467,2000,1650.0,2015-09-01,Ahmadnagar,Maharashtra,3,Akole:wheat(husked)
Akole,wheat(husked),2015,October,444,1500,1980,1675.0,2015-10-01,Ahmadnagar,Maharashtra,4,Akole:wheat(husked)
Akole,wheat(husked),2015,November,253,1475,1975,1663.0,2015-11-01,Ahmadnagar,Maharashtra,4,Akole:wheat(husked)
Akole,wheat(husked),2015,December,207,1475,1900,1663.0,2015-12-01,Ahmadnagar,Maharashtra,4,Akole:wheat(husked)
Akole,wheat(husked),2016,January,214,1480,1900,1660.0,2016-01-01,Ahmadnagar,Maharashtra,1,Akole:wheat(husked)
Akole,wheat(husked),2016,February,97,1475,1900,1638.0,2016-02-01,Ahmadnagar,Maharashtra,1,Akole:wheat(husked)
Akole,wheat(husked),2016,March,86,1513,1975,1650.0,2016-03-01,Ahmadnagar,Maharashtra,1,Akole:wheat(husked)
Akole,wheat(husked),2016,April,115,1517,2150,1725.0,2016-04-01,Ahmadnagar,Maharashtra,2,Akole:wheat(husked)
Akole,wheat(husked),2016,May,101,1519,2200,1725.0,2016-05-01,Ahmadnagar,Maharashtra,2,Akole:wheat(husked)
Akole,wheat(husked),2016,June,85,1475,2200,1788.0,2016-06-01,Ahmadnagar,Maharashtra,2,Akole:wheat(husked)
Akole,wheat(husked),2016,July,57,1550,2400,1791.25,2016-07-01,Ahmadnagar,Maharashtra,3,Akole:wheat(husked)
Akole,wheat(husked),2016,August,41,1533,2300,1791.25,2016-08-01,Ahmadnagar,Maharashtra,3,Akole:wheat(husked)
Akole,wheat(husked),2016,September,68,1500,2160,1705.0,2016-09-01,Ahmadnagar,Maharashtra,3,Akole:wheat(husked)
Akole,wheat(husked),2016,October,205,1500,2150,1731.0,2016-10-01,Ahmadnagar,Maharashtra,4,Akole:wheat(husked)
Akole,wheat(husked),2016,November,111,1500,2200,1713.0,2016-11-01,Ahmadnagar,Maharashtra,4,Akole:wheat(husked)
Akole,gram,2014,September,17,3000,3133,3067.0,2014-09-01,Ahmadnagar,Maharashtra,3,Akole:gram
Akole,gram,2014,October,32,3000,3200,3100.0,2014-10-01,Ahmadnagar,Maharashtra,4,Akole:gram
Akole,gram,2014,November,59,3194,3300,3230.0,2014-11-01,Ahmadnagar,Maharashtra,4,Akole:gram
Akole,gram,2014,December,9,3200,3300,3235.0,2014-12-01,Ahmadnagar,Maharashtra,4,Akole:gram
Akole,gram,2015,January,11,3200,3300,3250.0,2015-01-01,Ahmadnagar,Maharashtra,1,Akole:gram
Akole,gram,2015,February,3,3175,3300,3200.0,2015-02-01,Ahmadnagar,Maharashtra,1,Akole:gram
Akole,gram,2015,March,15,3100,3300,3225.0,2015-03-01,Ahmadnagar,Maharashtra,1,Akole:gram
Akole,gram,2015,April,39,3200,3500,3350.0,2015-04-01,Ahmadnagar,Maharashtra,2,Akole:gram
Akole,gram,2015,May,58,3338,3950,3500.0,2015-05-01,Ahmadnagar,Maharashtra,2,Akole:gram
Akole,gram,2015,June,53,3300,3975,3675.0,2015-06-01,Ahmadnagar,Maharashtra,2,Akole:gram
Akole,gram,2015,July,38,3300,3850,3525.0,2015-07-01,Ahmadnagar,Maharashtra,3,Akole:gram
Akole,gram,2015,August,27,3333,4033,3567.0,2015-08-01,Ahmadnagar,Maharashtra,3,Akole:gram
Akole,gram,2015,September,7,3400,4400,3600.0,2015-09-01,Ahmadnagar,Maharashtra,3,Akole:gram
Akole,gram,2015,October,36,3300,4375,3500.0,2015-10-01,Ahmadnagar,Maharashtra,4,Akole:gram
Akole,gram,2015,November,45,3300,4100,3575.0,2015-11-01,Ahmadnagar,Maharashtra,4,Akole:gram
Akole,gram,2015,December,12,3300,4250,3650.0,2015-12-01,Ahmadnagar,Maharashtra,4,Akole:gram
Akole,gram,2016,January,17,3300,4500,3550.0,2016-01-01,Ahmadnagar,Maharashtra,1,Akole:gram
Akole,gram,2016,February,16,3300,3800,3500.0,2016-02-01,Ahmadnagar,Maharashtra,1,Akole:gram
Akole,gram,2016,March,42,3450,4175,3800.0,2016-03-01,Ahmadnagar,Maharashtra,1,Akole:gram
Akole,gram,2016,April,70,3767,4833,4383.0,2016-04-01,Ahmadnagar,Maharashtra,2,Akole:gram
Akole,gram,2016,May,16,4333,5500,5067.0,2016-05-01,Ahmadnagar,Maharashtra,2,Akole:gram
Akole,gram,2016,June,29,4375,5900,5300.0,2016-06-01,Ahmadnagar,Maharashtra,2,Akole:gram
Akole,gram,2016,July,10,5000,7000,5680.625,2016-07-01,Ahmadnagar,Maharashtra,3,Akole:gram
Akole,gram,2016,August,8,5000,6600,5680.625,2016-08-01,Ahmadnagar,Maharashtra,3,Akole:gram
Akole,gram,2016,October,64,5875,8000,5680.625,2016-10-01,Ahmadnagar,Maharashtra,4,Akole:gram
Akole,gram,2016,November,30,5500,7500,5680.625,2016-11-01,Ahmadnagar,Maharashtra,4,Akole:gram
Akole,soybean,2014,September,35,3000,3200,3100.0,2014-09-01,Ahmadnagar,Maharashtra,3,Akole:soybean
Akole,soybean,2014,October,109,2750,2960,2860.0,2014-10-01,Ahmadnagar,Maharashtra,4,Akole:soybean
Akole,soybean,2014,November,1167,2825,3125,3000.0,2014-11-01,Ahmadnagar,Maharashtra,4,Akole:soybean
Akole,soybean,2014,December,975,2825,3125,3000.0,2014-12-01,Ahmadnagar,Maharashtra,4,Akole:soybean
Akole,soybean,2015,January,803,2860,3190,3025.0,2015-01-01,Ahmadnagar,Maharashtra,1,Akole:soybean
Akole,soybean,2015,February,9381,2178,2406,2437.5,2015-02-01,Ahmadnagar,Maharashtra,1,Akole:soybean
Akole,soybean,2015,March,406,2825,3125,2975.0,2015-03-01,Ahmadnagar,Maharashtra,1,Akole:soybean
Akole,soybean,2015,April,285,3000,3450,3250.0,2015-04-01,Ahmadnagar,Maharashtra,2,Akole:soybean
Akole,soybean,2015,May,204,3250,3775,3475.0,2015-05-01,Ahmadnagar,Maharashtra,2,Akole:soybean
Akole,soybean,2015,June,215,3000,3400,3250.0,2015-06-01,Ahmadnagar,Maharashtra,2,Akole:soybean
Akole,soybean,2015,July,283,2880,3240,3130.0,2015-07-01,Ahmadnagar,Maharashtra,3,Akole:soybean
Akole,soybean,2015,August,141,2825,3138,3000.0,2015-08-01,Ahmadnagar,Maharashtra,3,Akole:soybean
Akole,soybean,2015,September,113,2833,3167,3000.0,2015-09-01,Ahmadnagar,Maharashtra,3,Akole:soybean
Akole,soybean,2015,October,2204,2960,3440,3120.0,2015-10-01,Ahmadnagar,Maharashtra,4,Akole:soybean
Akole,soybean,2015,November,1353,3000,3575,3250.0,2015-11-01,Ahmadnagar,Maharashtra,4,Akole:soybean
Akole,soybean,2015,December,741,3000,3500,3250.0,2015-12-01,Ahmadnagar,Maharashtra,4,Akole:soybean
Akole,soybean,2016,January,753,3000,3540,3300.0,2016-01-01,Ahmadnagar,Maharashtra,1,Akole:soybean
Akole,soybean,2016,February,335,3000,3600,3375.0,2016-02-01,Ahmadnagar,Maharashtra,1,Akole:soybean
Akole,soybean,2016,March,334,3000,3563,3375.0,2016-03-01,Ahmadnagar,Maharashtra,1,Akole:soybean
Akole,soybean,2016,April,378,3400,3883,3683.0,2016-04-01,Ahmadnagar,Maharashtra,2,Akole:soybean
Akole,soybean,2016,May,203,3300,3800,3525.0,2016-05-01,Ahmadnagar,Maharashtra,2,Akole:soybean
Akole,soybean,2016,June,100,3200,3725,3500.0,2016-06-01,Ahmadnagar,Maharashtra,2,Akole:soybean
Akole,soybean,2016,July,146,3300,3625,3475.0,2016-07-01,Ahmadnagar,Maharashtra,3,Akole:soybean
Akole,soybean,2016,August,87,3250,3525,3425.0,2016-08-01,Ahmadnagar,Maharashtra,3,Akole:soybean
Akole,soybean,2016,September,58,2880,3145,3000.0,2016-09-01,Ahmadnagar,Maharashtra,3,Akole:soybean
Akole,soybean,2016,October,306,2815,3000,2875.0,2016-10-01,Ahmadnagar,Maharashtra,4,Akole:soybean
Akole,soybean,2016,November,836,2781,2925,2806.0,2016-11-01,Ahmadnagar,Maharashtra,4,Akole:soybean
Akole,onion,2014,September,13366,200,2222,1250.0,2014-09-01,Ahmadnagar,Maharashtra,3,Akole:onion
Akole,onion,2014,October,4115,186,1980,1230.0,2014-10-01,Ahmadnagar,Maharashtra,4,Akole:onion
Akole,onion,2014,November,1564,175,1931,1052.0,2014-11-01,Ahmadnagar,Maharashtra,4,Akole:onion
Akole,onion,2014,December,1624,238,2075,1204.0,2014-12-01,Ahmadnagar,Maharashtra,4,Akole:onion
Akole,onion,2015,January,6398,138,1332,738.0,2015-01-01,Ahmadnagar,Maharashtra,1,Akole:onion
Akole,onion,2015,February,15584,223,1506,1222.0,2015-02-01,Ahmadnagar,Maharashtra,1,Akole:onion
Akole,onion,2015,March,51693,200,1585,1278.0,2015-03-01,Ahmadnagar,Maharashtra,1,Akole:onion
Akole,onion,2015,April,105645,106,1389,849.0,2015-04-01,Ahmadnagar,Maharashtra,2,Akole:onion
Akole,onion,2015,May,64231,131,1827,1015.0,2015-05-01,Ahmadnagar,Maharashtra,2,Akole:onion
Akole,onion,2015,June,35556,294,2374,1651.0,2015-06-01,Ahmadnagar,Maharashtra,2,Akole:onion
Akole,onion,2015,July,20927,611,2814,2103.25,2015-07-01,Ahmadnagar,Maharashtra,3,Akole:onion
Akole,onion,2015,August,8619,1200,5361,2103.25,2015-08-01,Ahmadnagar,Maharashtra,3,Akole:onion
Akole,onion,2015,September,896,1182,5144,2103.25,2015-09-01,Ahmadnagar,Maharashtra,3,Akole:onion
Akole,onion,2015,October,904,780,3720,2103.25,2015-10-01,Ahmadnagar,Maharashtra,4,Akole:onion
Akole,onion,2015,November,1672,150,2802,1464.0,2015-11-01,Ahmadnagar,Maharashtra,4,Akole:onion
Akole,onion,2015,December,1957,148,1615,929.0,2015-12-01,Ahmadnagar,Maharashtra,4,Akole:onion
Akole,onion,2016,January,1225,113,1418,802.0,2016-01-01,Ahmadnagar,Maharashtra,1,Akole:onion
Akole,onion,2016,February,16929,120,1240,768.0,2016-02-01,Ahmadnagar,Maharashtra,1,Akole:onion
Akole,onion,2016,March,40874,128,974,712.0,2016-03-01,Ahmadnagar,Maharashtra,1,Akole:onion
Akole,onion,2016,April,56372,150,973,662.0,2016-04-01,Ahmadnagar,Maharashtra,2,Akole:onion
Akole,onion,2016,May,50142,108,978,612.0,2016-05-01,Ahmadnagar,Maharashtra,2,Akole:onion
Akole,onion,2016,June,57133,159,1264,754.0,2016-06-01,Ahmadnagar,Maharashtra,2,Akole:onion
Akole,onion,2016,July,23897,125,1136,697.0,2016-07-01,Ahmadnagar,Maharashtra,3,Akole:onion
Akole,onion,2016,August,22971,120,1086,682.0,2016-08-01,Ahmadnagar,Maharashtra,3,Akole:onion
Akole,onion,2016,September,7538,50,771,485.0,2016-09-01,Ahmadnagar,Maharashtra,3,Akole:onion
Akole,onion,2016,October,11001,78,949,589.0,2016-10-01,Ahmadnagar,Maharashtra,4,Akole:onion
Akole,onion,2016,November,5936,143,1271,660.0,2016-11-01,Ahmadnagar,Maharashtra,4,Akole:onion
Jamkhed,bajri,2014,September,410,1302,1498,1400.0,2014-09-01,Ahmadnagar,Maharashtra,3,Jamkhed:bajri
Jamkhed,bajri,2014,October,2554,1329,1503,1416.0,2014-10-01,Ahmadnagar,Maharashtra,4,Jamkhed:bajri
Jamkhed,bajri,2014,November,1877,1318,1503,1411.0,2014-11-01,Ahmadnagar,Maharashtra,4,Jamkhed:bajri
Jamkhed,bajri,2014,December,846,1300,1488,1394.0,2014-12-01,Ahmadnagar,Maharashtra,4,Jamkhed:bajri
Jamkhed,bajri,2015,January,730,1300,1488,1394.0,2015-01-01,Ahmadnagar,Maharashtra,1,Jamkhed:bajri
Jamkhed,bajri,2015,February,263,1300,1453,1376.0,2015-02-01,Ahmadnagar,Maharashtra,1,Jamkhed:bajri
Jamkhed,bajri,2015,March,197,1300,1450,1375.0,2015-03-01,Ahmadnagar,Maharashtra,1,Jamkhed:bajri
Jamkhed,bajri,2015,April,164,1304,1446,1375.0,2015-04-01,Ahmadnagar,Maharashtra,2,Jamkhed:bajri
Jamkhed,bajri,2015,May,174,1300,1450,1375.0,2015-05-01,Ahmadnagar,Maharashtra,2,Jamkhed:bajri
Jamkhed,bajri,2015,June,268,1300,1445,1372.0,2015-06-01,Ahmadnagar,Maharashtra,2,Jamkhed:bajri
Jamkhed,bajri,2015,July,98,1359,1503,1431.0,2015-07-01,Ahmadnagar,Maharashtra,3,Jamkhed:bajri
Jamkhed,bajri,2015,August,63,1413,1557,1485.0,2015-08-01,Ahmadnagar,Maharashtra,3,Jamkhed:bajri
Jamkhed,bajri,2015,September,188,1457,1617,1537.0,2015-09-01,Ahmadnagar,Maharashtra,3,Jamkhed:bajri
Jamkhed,bajri,2015,October,258,1438,1602,1520.0,2015-10-01,Ahmadnagar,Maharashtra,4,Jamkhed:bajri
Jamkhed,bajri,2015,November,171,1486,1633,1560.0,2015-11-01,Ahmadnagar,Maharashtra,4,Jamkhed:bajri
Jamkhed,bajri,2015,December,370,1600,1833,1716.0,2015-12-01,Ahmadnagar,Maharashtra,4,Jamkhed:bajri
Jamkhed,bajri,2016,January,160,1428,1645,1536.0,2016-01-01,Ahmadnagar,Maharashtra,1,Jamkhed:bajri
Jamkhed,bajri,2016,February,76,1425,1578,1502.0,2016-02-01,Ahmadnagar,Maharashtra,1,Jamkhed:bajri
Jamkhed,bajri,2016,March,43,1408,1558,1483.0,2016-03-01,Ahmadnagar,Maharashtra,1,Jamkhed:bajri
Jamkhed,bajri,2016,April,45,1513,1742,1627.0,2016-04-01,Ahmadnagar,Maharashtra,2,Jamkhed:bajri
Jamkhed,bajri,2016,May,68,1486,1814,1650.0,2016-05-01,Ahmadnagar,Maharashtra,2,Jamkhed:bajri
Jamkhed,bajri,2016,June,82,1532,1807,1670.0,2016-06-01,Ahmadnagar,Maharashtra,2,Jamkhed:bajri
Jamkhed,bajri,2016,July,25,1620,1920,1770.0,2016-07-01,Ahmadnagar,Maharashtra,3,Jamkhed:bajri
Jamkhed,bajri,2016,August,136,1508,1817,1663.0,2016-08-01,Ahmadnagar,Maharashtra,3,Jamkhed:bajri
Jamkhed,bajri,2016,September,213,1493,1697,1595.0,2016-09-01,Ahmadnagar,Maharashtra,3,Jamkhed:bajri
Jamkhed,wheat(husked),2014,September,280,1936,2400,2168.0,2014-09-01,Ahmadnagar,Maharashtra,3,Jamkhed:wheat(husked)
Jamkhed,wheat(husked),2014,October,136,1907,2364,2136.0,2014-10-01,Ahmadnagar,Maharashtra,4,Jamkhed:wheat(husked)
Jamkhed,wheat(husked),2014,November,188,1918,2292,2105.0,2014-11-01,Ahmadnagar,Maharashtra,4,Jamkhed:wheat(husked)
Jamkhed,wheat(husked),2014,December,155,1879,2231,2055.0,2014-12-01,Ahmadnagar,Maharashtra,4,Jamkhed:wheat(husked)
Jamkhed,wheat(husked),2015,January,178,1872,2203,2038.0,2015-01-01,Ahmadnagar,Maharashtra,1,Jamkhed:wheat(husked)
Jamkhed,wheat(husked),2015,February,169,1841,2248,2045.0,2015-02-01,Ahmadnagar,Maharashtra,1,Jamkhed:wheat(husked)
Jamkhed,wheat(husked),2015,March,560,1850,2224,2037.0,2015-03-01,Ahmadnagar,Maharashtra,1,Jamkhed:wheat(husked)
Jamkhed,wheat(husked),2015,April,735,1856,2256,2056.0,2015-04-01,Ahmadnagar,Maharashtra,2,Jamkhed:wheat(husked)
Jamkhed,wheat(husked),2015,May,571,1828,2294,2061.0,2015-05-01,Ahmadnagar,Maharashtra,2,Jamkhed:wheat(husked)
Jamkhed,wheat(husked),2015,June,407,1874,2368,2121.0,2015-06-01,Ahmadnagar,Maharashtra,2,Jamkhed:wheat(husked)
Jamkhed,wheat(husked),2015,July,112,1840,2292,2066.0,2015-07-01,Ahmadnagar,Maharashtra,3,Jamkhed:wheat(husked)
Jamkhed,wheat(husked),2015,August,118,1915,2275,2086.0,2015-08-01,Ahmadnagar,Maharashtra,3,Jamkhed:wheat(husked)
Jamkhed,wheat(husked),2015,September,179,1946,2271,2109.0,2015-09-01,Ahmadnagar,Maharashtra,3,Jamkhed:wheat(husked)
Jamkhed,wheat(husked),2015,October,238,1899,2253,2076.0,2015-10-01,Ahmadnagar,Maharashtra,4,Jamkhed:wheat(husked)
Jamkhed,wheat(husked),2015,November,86,1895,2239,2067.0,2015-11-01,Ahmadnagar,Maharashtra,4,Jamkhed:wheat(husked)
Jamkhed,wheat(husked),2015,December,119,1872,2272,2073.0,2015-12-01,Ahmadnagar,Maharashtra,4,Jamkhed:wheat(husked)
Jamkhed,wheat(husked),2016,January,85,2248,2400,2261.25,2016-01-01,Ahmadnagar,Maharashtra,1,Jamkhed:wheat(husked)
Jamkhed,wheat(husked),2016,February,108,2193,2365,2261.25,2016-02-01,Ahmadnagar,Maharashtra,1,Jamkhed:wheat(husked)
Jamkhed,wheat(husked),2016,March,133,2184,2370,2261.25,2016-03-01,Ahmadnagar,Maharashtra,1,Jamkhed:wheat(husked)
Jamkhed,wheat(husked),2016,April,46,2132,2268,2200.0,2016-04-01,Ahmadnagar,Maharashtra,2,Jamkhed:wheat(husked)
Jamkhed,wheat(husked),2016,May,32,1594,2081,1903.25,2016-05-01,Ahmadnagar,Maharashtra,2,Jamkhed:wheat(husked)
Jamkhed,wheat(husked),2016,June,42,1600,2100,1903.25,2016-06-01,Ahmadnagar,Maharashtra,2,Jamkhed:wheat(husked)
Jamkhed,wheat(husked),2016,July,32,1660,1980,1903.25,2016-07-01,Ahmadnagar,Maharashtra,3,Jamkhed:wheat(husked)
Jamkhed,wheat(husked),2016,August,21,1650,1900,1903.25,2016-08-01,Ahmadnagar,Maharashtra,3,Jamkhed:wheat(husked)
Jamkhed,wheat(husked),2016,September,6,1800,1900,1903.25,2016-09-01,Ahmadnagar,Maharashtra,3,Jamkhed:wheat(husked)
Jamkhed,wheat(husked),2016,October,17,1750,2150,1950.0,2016-10-01,Ahmadnagar,Maharashtra,4,Jamkhed:wheat(husked)
Jamkhed,wheat(husked),2016,November,11,1867,2400,2133.0,2016-11-01,Ahmadnagar,Maharashtra,4,Jamkhed:wheat(husked)
Jamkhed,sorgum(jawar),2014,September,12288,1867,3062,2464.0,2014-09-01,Ahmadnagar,Maharashtra,3,Jamkhed:sorgum(jawar)
Jamkhed,sorgum(jawar),2014,October,5593,1741,2956,2349.0,2014-10-01,Ahmadnagar,Maharashtra,4,Jamkhed:sorgum(jawar)
Jamkhed,sorgum(jawar),2014,November,7678,1821,3239,2514.0,2014-11-01,Ahmadnagar,Maharashtra,4,Jamkhed:sorgum(jawar)
Jamkhed,sorgum(jawar),2014,December,5095,1800,3136,2468.0,2014-12-01,Ahmadnagar,Maharashtra,4,Jamkhed:sorgum(jawar)
Jamkhed,sorgum(jawar),2015,January,6645,1769,3102,2436.0,2015-01-01,Ahmadnagar,Maharashtra,1,Jamkhed:sorgum(jawar)
Jamkhed,sorgum(jawar),2015,February,35320,1622,2536,2079.0,2015-02-01,Ahmadnagar,Maharashtra,1,Jamkhed:sorgum(jawar)
